INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
jcn-regularcoupon-api-1,10.10.1.6,n2-standard-4,4,16.0 GB,50 GB,TERMINATED,jcn,prod,coupon,jcn-prod,720
jcn-regularcoupon-rabbitmq,10.10.2.6,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jcn,prod,coupon,jcn-prod,720
jcn-regularcoupon-redis,10.10.2.5,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jcn,prod,coupon,jcn-prod,720
jcnloyalty-qa,10.2.3.203,e2-medium,2,4.0 GB,50 GB,RUNNING,jcn,dev,coupon,jcn-dev,308
jcpa-admin,10.3.2.5,e2-standard-2,2,8.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpa-admin-k8s-poc,10.3.2.224,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,jcpa,bigticket-prod,720
jcpa-hap-01,10.3.8.29,n2-standard-4,4,16.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpa-mongo-master,10.3.1.6,e2-medium,2,4.0 GB,150 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpa-mongo-master-k8s-testing,10.3.1.49,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,jcpa,bigticket-prod,720
jcpa-mongo-replica,10.3.1.7,e2-medium,2,4.0 GB,150 GB,RUNNING,jioengage,prod,jcpa,bigticket-prod,720
jcpa-mongo-replica-k8s-testing,10.3.1.48,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,jcpa,bigticket-prod,720
jcpa-rabbitmq,10.3.3.4,e2-standard-4,4,16.0 GB,30 GB,RUNNING,jioengage,prod,jcpa,bigticket-prod,720
jcpa-rabbitmq-k8s-poc,10.3.3.27,e2-standard-4,4,16.0 GB,30 GB,RUNNING,jioengage,prod,jcpa,bigticket-prod,720
jcpa-sc-app-01,10.3.16.32,n2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpa-sc-app-02,10.3.16.33,n2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpajiotv-admin,10.3.2.48,e2-standard-2,2,8.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
